,Player,Rk,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Year,Tgt,Rec,Ctch%,Y/R,Y/Tgt,R/G
222,Lamar Miller,34.75,MIA,24,RB,61,48,638.0,2930,19,137,64.75,4.62,46.67,5,2015,152.0,117.0,76.22,7.4,5.7,1.85
223,Larry Johnson,42.5,KAN,27,RB,48,28,892.0,4205,47,232,39.25,4.65,73.38,7,2006,147.0,97.0,59.65,8.75,5.88,1.77
224,Latavius Murray,27.0,OAK,26,RB,45,31,543.0,2278,20,119,62.0,4.4,50.4,7,2016,119.0,91.0,76.0,7.37,5.57,2.03
225,Laurence Maroney,45.25,NWE,24,RB,45,14,582.0,2430,21,139,40.5,4.0,49.73,5,2009,56.0,40.0,67.03,14.97,8.83,0.93
226,Le'Veon Bell,16.0,PIT,24,RB,47,47,908.0,4045,26,225,52.5,4.5,87.42,5,2016,291.0,227.0,79.83,8.28,6.47,4.75
227,LeSean McCoy,20.5,PHI,24,RB,58,44,835.0,3866,30,205,55.5,4.58,67.28,9,2012,282.0,220.0,77.15,7.2,5.57,3.85
228,Lee Suggs,109.5,MIA,26,RB,29,3,269.0,1074,4,54,32.75,3.77,31.02,8,2006,49.0,28.0,45.15,3.3,5.3,0.78
229,LenDale White,38.5,TEN,25,RB,58,18,628.0,2349,24,127,36.25,3.77,38.4,7,2009,66.0,42.0,61.12,4.47,2.77,0.73
230,Leon Washington,55.0,NYJ,27,RB,55,13,370.0,1782,13,70,41.5,4.95,34.5,11,2009,169.0,123.0,71.47,8.25,5.92,2.23
231,Leonard Fournette,25.75,TAM,25,RB,49,39,763.0,2998,23,150,60.5,3.83,59.98,3,2020,221.0,170.0,78.05,7.55,5.9,3.38
232,Leonard Henry,82.0,MIA,26,RB,6,2,46.0,141,0,5,53.0,3.1,23.5,1,2004,6.0,3.0,50.0,4.0,2.0,0.5
233,Lex Hilliard,126.5,MIA,27,RB,32,4,39.0,130,2,14,11.0,3.25,4.1,0,2011,29.0,26.0,73.8,6.9,5.47,0.57
