,Player,Rk,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Year
121,James Casey,226.5,HOU,28,TE,61,20,95,66,64.42,752,11.78,4,38,39.25,7.6,1.07,12.4,0,2012
122,James Hanna,295.25,DAL,26,TE,62,29,46,33,70.92,286,9.43,0,13,23.5,6.57,0.55,4.65,0,2015
123,James O'Shaughnessy,294.5,JAX,26,TE,53,16,74,46,63.73,449,8.38,1,23,19.0,5.3,0.9,9.22,0,2018
124,James Whalen,207.0,DAL,25,TE,16,6,29,17,58.6,152,8.9,0,7,33.0,5.2,1.1,9.5,0,2002
125,Jared Cook,142.0,TEN,25,TE,59,11,214,131,61.3,1717,12.0,8,81,48.5,7.38,2.23,28.88,3,2012
126,Jason Pociask,425.0,NYJ,24,TE,4,0,1,1,100.0,7,7.0,0,0,7.0,7.0,0.3,1.8,0,2007
127,Jason Witten,48.75,DAL,24,TE,63,53,355,252,70.35,2838,11.12,14,141,38.5,7.83,3.95,44.7,2,2006
128,Jay Tant,397.0,ARI,23,TE,5,0,2,1,50.0,4,4.0,0,1,4.0,2.0,0.2,0.8,0,2000
129,Jaylen Samuels,241.0,HOU,25,RB,45,8,104,85,77.88,564,6.0,4,32,17.0,4.78,1.73,11.0,2,2021
130,Jeb Putzier,236.0,DEN,26,TE,39,10,118,77,52.62,1087,9.35,2,58,21.0,6.43,1.4,18.6,1,2005
131,Jeff Dugan,283.5,MIN,26,TE,23,10,21,15,74.5,97,6.55,1,7,18.5,5.1,0.75,4.65,1,2007
132,Jeff Heuerman,236.0,DEN,26,TE,37,18,86,49,53.47,564,13.53,4,26,40.33,7.0,1.4,15.8,0,2018
133,Jeff King,202.25,CAR,26,TE,60,46,151,93,55.02,802,6.78,7,46,23.25,4.3,1.48,12.55,3,2009
134,Jerell Adams,256.0,NYG,25,TE,29,3,32,24,74.45,214,9.55,1,13,26.0,7.1,0.85,7.6,1,2017
135,Jeremy Shockey,40.5,NYG,25,TE,54,53,416,248,60.75,2986,11.95,17,155,43.25,7.22,4.65,55.7,5,2005
136,Jeremy Sprinkle,360.75,WAS,26,TE,59,33,55,34,55.15,301,7.5,3,17,12.75,4.22,0.55,4.83,1,2020
137,Jermaine Gresham,57.75,CIN,25,TE,59,52,337,218,64.82,2262,10.3,19,112,35.75,6.67,3.7,38.2,8,2013
138,Jermichael Finley,146.0,GNB,24,TE,48,29,202,137,66.75,1818,13.2,15,90,43.0,8.88,3.05,41.35,1,2011
139,Jerramy Stevens,160.0,SEA,26,TE,60,20,176,108,56.42,1227,11.32,11,68,30.5,6.33,1.82,20.48,1,2005
140,Jesse James,166.75,PIT,24,TE,56,36,173,120,70.72,1189,9.62,9,59,31.75,6.85,2.0,19.45,0,2018
141,Jim Dray,321.75,ARI,27,TE,55,18,48,33,63.65,302,11.0,2,19,18.5,6.1,0.55,5.0,1,2013
142,Jimmy Graham,42.25,NOR,27,TE,62,37,470,301,65.12,3863,12.6,41,215,53.25,8.2,4.85,61.75,3,2013
143,Joe Klopfenstein,305.25,BUF,26,TE,49,38,58,34,58.35,397,13.0,2,15,26.0,7.72,0.78,8.78,1,2009
144,Joel Dreessen,295.67,HOU,26,TE,43,3,33,20,60.47,173,9.67,2,8,19.33,5.93,0.47,3.97,1,2008
145,John Carlson,83.0,SEA,26,TE,47,38,221,137,61.2,1519,11.0,13,75,37.33,6.73,2.9,32.1,0,2010
146,John Gilmore,379.0,CHI,26,TE,55,6,20,12,49.1,142,6.25,1,9,10.5,5.15,0.38,4.28,0,2005
147,John Owens,319.0,DET,22,TE,15,8,15,5,33.3,49,9.8,0,3,13.0,3.3,0.3,3.3,0,2002
148,John Phillips,271.33,DAL,25,TE,48,20,37,30,80.37,218,7.5,2,9,18.0,6.0,0.6,4.53,0,2012
149,Jonnu Smith,164.25,TEN,25,TE,60,53,169,114,67.33,1302,11.25,16,56,53.25,7.67,1.88,21.73,1,2020
150,Jordan Akins,160.75,HOU,29,TE,58,23,162,114,70.42,1260,11.15,3,64,34.5,7.82,2.0,21.93,2,2021
151,Jordan Cameron,171.0,CLE,26,TE,47,31,219,130,53.5,1600,11.5,10,73,44.25,6.2,2.48,30.93,1,2014
152,Jordan Leggett,254.0,NYJ,23,TE,15,4,24,14,58.3,114,8.1,1,6,16.0,4.8,0.9,7.6,0,2018
153,Jordan Reed,57.0,WAS,26,TE,46,22,327,248,75.92,2602,10.43,20,148,33.25,7.95,5.3,55.73,5,2016
154,Jordan Thomas,395.0,2TM,24,TE,27,12,32,22,52.47,226,7.27,5,13,16.67,4.07,0.57,5.17,0,2020
155,Josh Oliver,313.33,BAL,25,TE,35,11,46,26,55.33,230,7.63,2,11,21.67,4.3,0.73,5.77,1,2022
156,Josiah Deguara,295.0,GNB,25,TE,35,6,50,39,70.83,371,10.2,2,14,33.0,7.0,0.97,9.33,0,2022
157,Julius Thomas,195.67,DEN,26,TE,32,25,159,109,51.97,1282,9.5,24,71,38.0,5.8,2.7,31.63,1,2014
158,Justice Cunningham,422.0,2TM,22,TE,2,0,1,1,100.0,4,4.0,0,0,4.0,4.0,0.5,2.0,0,2013
159,Justin Peelle,263.0,SDG,26,TE,62,19,72,40,52.98,270,6.3,4,13,15.5,3.38,0.65,4.4,1,2005
160,Kaden Smith,261.33,NYG,24,TE,33,22,66,52,86.5,413,8.6,3,21,23.0,7.57,1.63,13.67,3,2021
161,Kahale Warring,408.0,HOU,23,TE,7,0,7,3,42.9,35,11.7,0,2,23.0,5.0,0.4,5.0,0,2020
162,Keith Heinrich,346.0,CLE,25,TE,14,3,10,9,94.45,65,4.5,2,5,9.0,4.05,0.6,4.6,0,2004
163,Keith Zinger,464.0,ATL,25,TE,15,2,1,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,2009
164,Kellen Davis,288.33,CHI,26,TE,48,20,51,28,55.23,300,12.9,9,19,23.0,6.93,0.6,6.27,0,2011
165,Kellen Winslow,118.67,CLE,24,TE,34,32,279,176,58.37,2031,11.1,8,100,36.67,6.43,4.4,49.6,3,2007
166,Kevin Boss,150.0,NYG,26,TE,58,45,208,119,58.8,1600,13.35,18,75,35.0,7.8,2.0,26.98,1,2010
167,Kevin Everett,396.5,BUF,25,TE,17,5,2,2,100.0,4,2.0,0,0,2.0,2.0,0.55,1.55,0,2007
168,Kris Wilson,246.33,KAN,26,TE,46,23,79,42,56.83,345,9.1,4,22,22.0,5.23,0.87,7.33,2,2007
169,Kyle Rudolph,137.0,MIN,25,TE,48,40,212,133,64.88,1286,9.72,17,75,31.0,6.33,2.88,28.05,1,2014
170,L.J. Smith,86.0,PHI,26,TE,63,44,282,172,61.35,1991,11.6,14,102,45.0,7.12,2.7,31.45,2,2006
171,Ladarius Green,216.5,SDG,25,TE,47,26,122,77,72.85,1087,14.9,7,52,37.5,10.57,1.57,21.65,0,2015
172,Lance Kendricks,135.0,STL,26,TE,62,51,206,129,63.65,1388,10.68,13,72,42.25,6.65,2.08,22.32,2,2014
173,Lee Smith,335.75,BUF,27,TE,56,34,25,20,85.78,144,6.92,3,10,14.25,5.03,0.38,2.45,0,2014
174,Leonard Pope,209.75,KAN,26,TE,55,33,100,68,68.28,650,9.43,6,29,29.5,6.42,1.25,11.93,1,2009
175,Levine Toilolo,246.0,ATL,25,TE,64,45,100,62,64.35,601,9.82,6,33,22.25,6.43,0.95,9.4,1,2016
176,Luke Stocker,261.67,TAM,26,RB,43,27,55,35,64.5,298,7.97,1,15,22.67,5.07,0.8,6.7,0,2014
177,Luke Willson,213.25,SEA,26,TE,56,30,115,74,65.8,976,12.8,7,46,40.5,8.27,1.35,17.0,0,2016
178,Malcolm Johnson,357.5,CLE,24,TE,19,6,13,9,69.05,59,6.3,0,2,14.5,4.4,0.5,3.8,1,2016
179,Marcedes Lewis,139.75,JAX,25,TE,62,50,211,123,59.1,1524,12.1,7,69,33.25,7.08,1.98,24.48,1,2009
180,Mark Andrews,56.0,BAL,26,TE,62,18,389,263,67.28,3466,13.57,29,185,51.75,9.15,4.2,55.38,5,2021
181,Martellus Bennett,181.25,DAL,24,TE,60,31,130,85,64.92,846,10.3,4,39,26.25,6.7,1.43,13.93,1,2011
182,Martin Rucker,436.5,2TM,26,TE,7,1,7,2,16.65,17,4.25,0,2,4.5,1.4,0.2,1.7,0,2011
183,Martrez Milner,266.0,ATL,23,TE,8,2,9,9,100.0,50,5.6,0,2,15.0,5.6,1.1,6.3,0,2007
184,Mason Schreck,518.0,CIN,27,TE,14,1,1,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,2020
185,Matt Kranchick,408.0,2TM,26,TE,6,1,1,1,100.0,6,6.0,0,0,6.0,6.0,0.2,1.0,0,2005
186,Matt Murphy,407.33,HOU,25,TE,23,3,9,3,25.0,34,7.0,0,3,7.33,2.83,0.17,1.87,0,2005
