,Player,Rk,Tm,Age,Pos,G,GS,Intcpt,IntYds,IntTD,Lng,PD,FF,Fmb,FR,FumYds,FumTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Year
343,Robert Mathis,282.5,IND,25,LDE,61,17,0,0,0,0.0,8,21,0,6,26,0,35.0,182,148,34,30,12,0,2006
344,Robert Quinn,286.5,STL,24,RDE,63,47,0,0,0,0.0,11,14,0,2,33,1,45.0,155,133,22,52,83,0,2014
345,Rodney Bailey,573.0,PIT,24,DE,48,1,0,0,0,0.0,3,0,0,1,0,0,9.5,66,42,24,16,0,0,2003
346,Ronald Blair,516.0,SFO,26,DE,47,2,0,0,0,0.0,0,1,0,1,0,0,13.5,88,59,29,22,27,0,2019
347,Ronald Flemons,1086.5,MIA,25,DE,5,0,0,0,0,0.0,0,0,0,0,0,0,0.5,2,1,1,0,0,0,2004
348,Rufus Johnson,1044.0,NWE,25,DE,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,2015
349,Ryan Denney,508.5,BUF,28,DE,56,18,0,0,0,0.0,8,2,0,1,0,0,10.5,132,76,56,14,0,0,2005
350,Ryan Kerrigan,159.0,WAS,26,LOLB,64,64,2,37,2,9.25,16,15,0,2,0,0,38.0,248,182,66,52,54,0,2014
351,Ryan Riddle,890.5,NYJ,25,DE,17,0,0,0,0,0.0,0,0,0,0,0,0,0.0,9,7,2,0,0,0,2006
352,Ryan Russell,694.0,TAM,25,DE,22,7,0,0,0,0.0,0,0,0,0,0,0,3.0,21,17,4,3,9,0,2017
353,Sam Acho,398.75,ARI,26,DE,51,32,3,5,0,1.25,8,7,0,2,1,0,13.0,126,98,28,16,19,0,2014
354,Sam Hubbard,237.5,CIN,26,LDE,60,44,0,0,0,0.0,11,4,0,3,62,1,24.0,239,139,100,34,50,0,2021
355,Sam Williams,368.0,OAK,26,LLB,24,16,0,0,0,0.0,4,0,0,1,30,1,1.0,71,60,11,6,2,0,2006
356,Scott Crichton,831.0,MIN,24,DE,21,0,0,0,0,0.0,0,0,0,0,0,0,0.0,10,8,2,1,1,0,2015
357,Scott Solomon,940.0,CLE,27,DE,23,0,0,0,0,0.0,0,2,0,1,0,0,2.0,21,12,9,2,4,0,2015
358,Shane Ray,537.5,DEN,25,DE,49,15,0,0,0,0.0,2,2,0,2,18,1,14.0,94,64,30,15,33,0,2018
359,Shaq Lawson,506.25,BUF,25,DE,50,17,0,0,0,0.0,10,5,0,0,0,0,16.5,108,63,45,25,38,0,2019
360,Shaun Ellis,244.75,NYJ,26,LDE,64,50,1,1,0,0.25,9,4,0,2,2,0,30.0,223,162,61,34,0,0,2003
361,Shaun Phillips,289.5,SDG,26,LOLB,60,32,3,36,1,4.5,18,10,0,5,0,0,31.0,195,151,44,28,25,0,2007
362,Shea McClellin,422.0,CHI,26,LILB,52,31,0,0,0,0.0,2,1,0,2,0,0,7.5,161,98,63,16,20,0,2015
363,Shelby Harris,694.33,DEN,26,LDE,24,6,0,0,0,0.0,3,0,0,0,0,0,6.5,48,32,16,8,11,0,2017
364,Shilique Calhoun,716.5,NWE,27,DE,41,1,0,0,0,0.0,1,1,0,0,0,0,0.5,38,24,14,3,10,0,2019
365,Shurron Pierson,915.0,CHI,22,DE,12,0,0,0,0,0.0,0,0,0,0,0,0,0.0,12,7,5,0,0,0,2004
366,Slade Norris,1101.0,JAX,25,LB,9,0,0,0,0,0.0,0,0,0,0,0,0,0.0,4,2,2,0,0,0,2010
367,Solomon Thomas,619.25,SFO,25,DE,48,30,0,0,0,0.0,0,0,0,1,0,0,6.0,95,73,22,16,23,0,2020
368,Stanley McClover,737.0,CAR,23,DE,11,0,0,0,0,0.0,0,0,0,0,0,0,1.0,8,7,1,2,2,0,2007
369,Stansly Maponga,938.5,ATL,23,DE,24,0,0,0,0,0.0,0,0,0,2,6,0,1.0,8,4,4,1,2,0,2014
370,Stephon Tuitt,394.0,PIT,24,RDE,56,44,1,3,0,0.75,6,4,0,0,0,0,14.5,134,98,36,25,42,0,2017
371,Steven Means,1019.33,PHI,26,DE,19,0,0,0,0,0.0,0,1,0,0,0,0,1.0,9,5,4,0,2,0,2016
372,Sutton Smith,1351.0,LVR,25,LB,8,0,0,0,0,0.0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,2021
373,Taco Charlton,591.5,KAN,26,DE,44,12,0,0,0,0.0,2,4,0,1,0,0,11.0,74,46,28,12,20,0,2020
374,Takkarist McKinley,564.5,ATL,25,DE,49,25,0,0,0,0.0,2,2,0,1,0,0,17.5,79,53,26,22,45,0,2020
375,Tamba Hali,190.5,KAN,26,ROLB,63,63,1,-9,0,-2.25,9,14,0,2,0,0,27.0,239,182,57,34,35,1,2009
376,Tank Carradine,542.0,SFO,26,DE,36,1,0,0,0,0.0,0,1,0,0,0,0,4.0,57,40,17,0,0,0,2016
377,Tanoh Kpassagnon,585.25,KAN,26,LDE,61,24,0,0,0,0.0,5,1,0,1,0,0,7.0,75,52,23,12,18,0,2020
378,Tarell Basham,579.0,NYJ,26,LOLB,58,12,1,1,0,0.25,7,4,0,1,2,0,7.5,84,48,36,9,23,0,2020
379,Taylor Hart,816.5,SFO,25,DE,15,1,0,0,0,0.0,0,0,0,0,0,0,0.0,29,13,16,1,0,0,2016
380,Terrence Fede,659.75,MIA,26,DE,51,0,0,0,0,0.0,0,0,0,2,0,0,1.0,55,34,21,2,3,1,2017
381,Thaddeus Gibson,883.0,SFO,23,LB,2,0,0,0,0,0.0,0,1,0,0,0,0,0.0,3,3,0,0,0,0,2010
382,Tim Crowder,567.75,TAM,25,LDE,50,14,0,0,0,0.0,6,2,0,4,50,1,10.5,91,73,18,9,18,0,2010
383,Tourek Williams,550.0,SDG,25,LB,44,6,0,0,0,0.0,2,1,0,0,0,0,2.0,53,40,13,1,1,0,2016
384,Travis LaBoy,536.5,TEN,26,DE,54,20,1,0,0,0.0,6,5,0,3,0,0,19.5,108,71,37,17,18,0,2007
385,Trent Cole,189.75,PHI,26,RDE,63,53,1,19,1,4.75,9,8,0,2,1,0,34.5,255,189,66,51,53,0,2008
386,Trevardo Williams,809.0,WAS,24,DE,3,0,0,0,0,0.0,0,0,0,0,0,0,1.0,5,5,0,1,1,0,2014
387,Trevis Gipson,635.33,CHI,25,DL,40,19,0,0,0,0.0,5,5,0,1,0,0,10.0,75,41,34,11,21,0,2022
388,Trevon Young,1347.0,LAR,23,DT,2,0,0,0,0,0.0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,2018
389,Trevor Johnson,724.25,STL,26,DE,35,0,0,0,0,0.0,1,0,0,0,0,0,0.0,42,33,9,3,1,0,2007
390,Trevor Scott,518.5,OAK,27,DE,58,16,0,0,0,0.0,1,1,0,0,0,0,13.5,97,77,20,19,24,0,2011
391,Trey Flowers,264.67,NWE,25,LDE,45,37,0,0,0,0.0,6,5,0,2,-3,0,21.0,164,100,64,25,59,0,2018
392,Ty Powell,662.0,BUF,26,DE,19,0,0,0,0,0.0,1,0,0,0,0,0,1.0,23,17,6,3,4,0,2014
393,Ty Warren,280.5,NWE,25,LDE,63,51,0,0,0,0.0,6,3,0,2,5,0,13.5,234,154,80,26,13,1,2006
394,Tyler Brayton,307.75,OAK,27,LDE,63,47,1,24,0,6.0,9,2,0,1,0,0,6.0,171,139,32,13,0,0,2006
395,Tyquan Lewis,635.25,IND,26,DE,41,12,1,8,0,2.0,5,0,1,0,0,0,8.5,56,41,15,15,21,0,2021
396,Tyrone Crawford,419.33,DAL,26,LDT,47,31,0,0,0,0.0,2,1,0,0,0,0,8.0,88,61,27,14,27,0,2015
397,Tyson Jackson,339.5,KAN,26,LDE,59,46,0,0,0,0.0,7,0,0,0,0,0,5.0,166,113,53,9,9,0,2012
398,Vernon Gholston,712.0,NYJ,24,DE,45,5,0,0,0,0.0,0,0,0,0,0,0,0.0,42,24,18,3,1,0,2010
