Player,Rk,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Year
Ryan Mathews,19.5,SDG,26,RB,54,46,849,3731,20,166,38.0,4.35,67.93,14,2013
Ryan Moats,94.0,HOU,26,RB,24,1,103,441,4,23,28.0,3.93,19.57,3,2008
Ryan Torain,78.0,WAS,25,RB,20,13,238,1011,6,44,37.33,4.17,44.57,3,2011
Ryan Williams,74.0,ARI,22,RB,5,3,58,164,0,8,25.0,2.8,32.8,2,2012
Ryquell Armstead,123.5,JAX,25,RB,18,1,50,188,0,8,21.0,4.2,23.4,0,2021
Samaje Perine,117.0,CIN,25,RB,44,9,251,952,4,42,24.0,3.85,16.3,2,2020
Sammy Morris,134.25,BUF,26,RB,53,9,134,488,6,37,14.75,3.38,10.25,3,2003
Saquon Barkley,45.25,NYG,24,RB,44,44,659,2937,19,123,51.25,3.77,55.38,3,2021
Shane Vereen,88.0,NWE,25,RB,42,8,217,907,7,44,18.75,4.15,20.27,2,2014
Shaun Alexander,20.75,SEA,26,RB,64,44,994,4241,46,229,62.75,4.4,66.28,13,2003
Shonn Greene,23.5,NYJ,27,RB,61,31,822,3423,18,163,30.75,4.3,55.5,11,2012
Shyrone Stith,120.0,JAX,22,RB,14,0,20,55,1,3,12.0,2.8,3.9,1,2000
Sony Michel,26.0,LAR,26,RB,55,35,743,3137,18,199,36.75,4.5,57.05,4,2021
Spencer Ware,99.67,KAN,25,RB,27,16,289,1334,9,71,34.33,4.4,35.8,4,2016
Stanley Havili,174.0,IND,26,RB,28,10,13,29,1,2,6.0,2.35,1.0,0,2013
Stepfan Taylor,132.25,ARI,25,RB,61,4,120,393,1,25,16.0,3.23,6.62,0,2016
Stevan Ridley,34.5,NWE,25,RB,52,25,649,2817,22,158,36.5,4.35,54.6,9,2014
Steve Slaton,73.0,2TM,25,RB,45,26,442,1896,13,93,38.5,4.12,35.4,10,2011
Steven Jackson,17.25,STL,24,RB,57,46,971,4249,30,197,53.0,4.42,74.2,13,2007
Storm Johnson,115.0,JAX,22,RB,6,1,29,86,2,5,20.0,3.0,14.3,0,2014
T.J. Duckett,36.5,ATL,24,RB,55,13,552,2175,31,124,37.0,3.98,39.33,7,2005
T.J. Logan,247.5,TAM,25,FB,22,0,5,12,0,0,5.5,2.15,0.5,0,2019
T.J. Yeldon,47.5,JAX,25,RB,51,30,465,1872,6,73,34.75,4.22,36.9,5,2018
Taiwan Jones,169.33,OAK,25,RB,40,0,27,117,0,4,13.33,4.23,3.4,3,2013
Tarik Cohen,78.0,CHI,25,RB,51,22,264,1101,5,57,28.5,4.35,22.23,13,2020
Tashard Choice,63.5,3TM,27,RB,61,4,279,1216,9,57,36.0,4.25,19.55,4,2011
Tatum Bell,45.5,DET,26,RB,47,19,525,2524,14,116,43.0,4.78,51.23,10,2007
Terrance West,52.5,BAL,26,RB,43,23,465,1816,11,81,26.75,3.77,38.25,7,2017
Tevin Coleman,35.5,ATL,25,RB,56,20,528,2340,18,102,54.5,4.42,41.15,7,2018
Theo Riddick,108.5,DET,25,RB,54,11,164,566,2,31,18.5,3.1,12.35,1,2016
Thomas Clayton,173.0,2TM,26,RB,3,0,7,17,0,0,5.0,2.4,5.7,0,2010
Thomas Jones,38.0,TAM,25,RB,55,18,499,1891,12,93,42.25,3.75,36.6,13,2003
Tim Hightower,41.5,WAS,25,RB,53,41,523,2054,24,112,45.5,3.9,43.12,12,2011
Toby Gerhart,71.0,MIN,26,RB,61,6,276,1305,5,64,37.75,5.05,21.38,7,2013
Todd Gurley,5.5,LAR,24,RB,58,57,1042,4547,46,240,47.0,4.4,79.2,11,2018
Tommy Bohanon,211.33,NYJ,25,RB,36,14,20,67,0,5,4.33,2.53,1.6,0,2015
Tony Fiammetta,189.0,DAL,25,FB,24,15,11,26,0,5,7.0,2.05,1.0,0,2011
Tony Hunt,179.5,PHI,23,RB,14,2,14,25,2,7,5.0,1.95,1.75,1,2008
Tony Pollard,41.75,DAL,25,RB,62,6,510,2616,17,125,50.25,5.08,42.08,3,2022
Travis Henry,19.0,BUF,26,RB,54,48,963,3849,27,212,35.5,3.85,67.25,23,2004
