,Unnamed: 0.1,Unnamed: 0,Player,Tm,Pos,Rk,Age,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Win,Loss,Att_R,Yds_R,TD_R,1D_R,Lng_R,Y/A_R,Y/G_R,Fmb_R,Year,Rookie,Vet,Con_Len,Con_Sal,Cap,%Cap,New_Con_Len,New_Perc_Cap,Con_Yrs_Lft
30,30,30,Matt Barkley,CHI,QB,0.203494999,-0.628943257,-0.659379244,-0.566501529,-0.557810592,-0.524967509,-0.277014266,-0.469160768,-0.544340362,-0.083035335,1.125568858,2.08323289,-0.330416352,-1.338818233,0.517819191,-0.844335597,0.878746477,0.409588928,-1.064010353,-0.844230954,-1.049069596,-0.96489781,-1.086371732,0.852417379,-0.548990002,-0.770301089,-0.835169981,-0.907591995,0.090155512,-0.67658478,-0.680405298,-0.626711656,-0.795963135,-0.675759309,-0.779449521,-0.702171374,-0.040439788,2016,0,1,1,675000,155270000,0.004347266,1,0.004458239,0
31,31,31,Brian Hoyer,CHI,QB,0.265930965,0.503154605,-0.849788223,-0.729220053,-0.523943073,-0.595518439,0.943086558,-0.567880449,-0.716237318,-0.452298355,-1.284997874,-1.255647221,-0.51052217,0.154676016,0.241876069,0.772477249,-0.369998517,0.543250107,0.852929441,0.341102385,-1.194325386,-1.234701464,-1.303531179,0.798632913,1.146325503,-0.770301089,-0.835169981,-0.907591995,-0.21411934,-0.67658478,-0.711000937,-0.626711656,-0.795963135,-0.858172865,-1.004750259,-0.75895305,-0.30734239,2016,0,1,1,2000000,155270000,0.012880788,3,0.00886521,0
32,32,32,Cody Kessler,CLE,QB,0.32836693,-1.308201974,-0.278561285,-0.24106448,-0.564584096,-0.617565605,0.709094619,-0.606535746,-0.716237318,-0.399546495,-0.940631198,-0.741973358,-0.582564497,-0.95161602,0.149895029,0.384442166,-0.369998517,-0.54977355,0.485031904,-0.303939479,0.040348831,0.081940369,1.08522274,-0.330840864,0.050494188,-0.770301089,-0.835169981,-1.152641833,1.002980066,-0.508076872,-0.558022741,-0.626711656,-0.681010034,-0.402138976,-0.291297923,-0.541289961,-0.040439788,2016,1,0,4,3389082,155270000,0.005456756,0,0.004781436,3
33,33,33,Josh McCown,CLE,QB,0.390802896,1.86167204,-1.040197203,-1.054657101,-0.821977246,-0.749848598,-1.146127183,-0.77305087,-0.716237318,-0.135787195,-0.251897846,0.593578686,-0.738656205,-0.398470002,-0.218029133,-0.520973028,0.658379714,0.283422769,-0.805836644,-0.998599947,-0.177534855,-0.069149677,1.116245518,-0.707332123,-0.839062997,-0.770301089,-0.835169981,-1.152641833,-0.518394191,-0.67658478,-0.535076011,-0.626711656,-0.795963135,-0.493345753,0.234403798,-0.333090484,0.760268017,2016,0,1,3,14000000,155270000,0.030055173,1,0.035928144,1
34,34,34,Jared Goff,LAR,QB,0.453238861,-1.534621547,-0.659379244,-0.403783005,-0.672960159,-0.573471273,-1.129413473,-0.779592536,-0.802185796,-0.768809515,-0.079714508,0.490843914,-0.834712641,0.26530522,-1.5057637,-1.491060736,-1.178009983,-0.521042642,-1.367364462,-1.687747237,0.403488306,0.966896355,1.58158719,-2.114692305,-1.922002179,-0.770301089,-0.835169981,-1.152641833,0.698705214,-0.634457803,-0.57332056,0.009641718,-0.681010034,-0.584552531,-0.141097432,-0.512899123,0.226462814,2016,1,0,4,27937673,155270000,0.044982406,0,0.041822864,3
35,35,35,Jay Cutler,CHI,QB,0.515674827,0.95599375,-1.040197203,-0.729220053,-0.882938781,-0.873312725,-0.377296526,-0.797433442,-0.888134275,-0.505050215,-0.424081184,0.593578686,-0.870733805,-0.398470002,0.701781272,0.061079596,1.319480004,0.180990838,-0.431484765,-1.147455762,-0.25016275,-0.306576893,1.488518856,0.081506706,-0.349161939,-0.770301089,-0.835169981,-0.907591995,-0.21411934,-0.760838733,-0.512129282,-0.626711656,-0.681010034,-0.037311864,0.91030601,-0.276308809,0.493365415,2016,0,1,7,126700000,155270000,0.116571134,1,0.05988024,4
36,36,36,Blaine Gabbert,SFO,QB,0.578110792,-0.402523684,-0.849788223,-0.729220053,-0.815203742,-0.771895764,-0.744998144,-0.877122823,-0.802185796,-0.399546495,-0.251897846,0.696313459,-0.810698532,0.763136636,-1.045858497,-1.232370681,-0.810732044,-0.538531021,-1.05755601,0.285970601,-0.685930121,-0.910937079,0.06147106,-0.877649597,-1.07756746,-0.770301089,-0.835169981,-0.907591995,-0.21411934,0.713605456,0.627558285,0.645995092,1.043286472,1.057169472,0.722555395,1.994958205,-1.108050195,2016,0,1,2,4000000,155270000,0.012880788,1,0.005359281,0
37,37,37,Robert Griffin III,CLE,QB,0.640546758,-0.628943257,-1.040197203,-0.729220053,-0.842297757,-0.829218394,-0.360582816,-0.900316001,-1.060031231,-1.296328114,-0.76844786,-0.228299495,-0.894747914,-0.177211595,-0.861896416,-0.779663084,-0.810732044,-0.251221945,-0.792927958,-0.541006147,0.112976726,0.060356077,2.108974419,-1.505135029,-1.251611257,-0.770301089,-0.835169981,-0.907591995,-0.21411934,0.334462665,0.757589752,0.645995092,0.353567869,0.69234236,1.398457608,2.86561056,-0.040439788,2016,0,1,2,15000000,155270000,0.048302956,2,0.010626993,1
38,38,38,Bryce Petty,NYJ,QB,0.702982724,-0.855362829,-0.849788223,-0.891938577,-0.923579805,-0.890950458,-0.828566694,-0.94610766,-0.974082753,-0.821561375,-0.079714508,1.466824254,-0.99080435,-0.509099206,-0.769915376,-1.55573325,-0.369998517,-0.78086998,-1.599720801,-1.820063517,-0.54067433,-0.576380548,0.837040514,-0.994182606,-1.644821317,-0.200489325,-0.298274993,-0.907591995,-0.518394191,-0.760838733,-0.550373831,-0.626711656,-0.681010034,-0.310932198,0.534804781,-0.42772661,-0.841147593,2016,1,0,4,2833697,155270000,0.004562531,0,0.004242061,0
39,39,39,Matt Moore,MIA,QB,0.765418689,0.729574178,-1.230606182,-1.054657101,-1.059049883,-1.093784381,0.307965581,-0.998440985,-0.544340362,2.818316963,-0.76844786,0.490843914,-0.99080435,0.26530522,1.253667515,1.28985736,1.319480004,-0.212497679,1.343459489,1.664265182,-1.412209072,-1.428960095,-1.582736182,1.865358147,1.726471493,-0.200489325,0.238619995,-0.662542156,-1.126943894,-0.929346641,-0.703352028,-0.626711656,-0.795963135,-1.222999977,-1.267601119,-0.75895305,-0.841147593,2016,0,1,2,3550000,155270000,0.0114317,0,0.010628743,1
40,40,40,Landry Jones,PIT,QB,0.827854655,-0.402523684,-0.468970264,-1.217375626,-1.072596891,-1.098193814,0.040546222,-1.095376575,-0.888134275,0.444483264,-0.940631198,-0.074197336,-1.086860786,-0.564413807,-0.401991214,-0.132937945,-0.59036528,-1.592830411,0.09777134,-0.447282115,-1.194325386,-1.062027125,-0.558984503,-0.259128243,-0.059088943,-0.200489325,-0.298274993,-0.907591995,-1.126943894,-0.718711757,-0.726298757,-0.626711656,-0.795963135,-1.131793199,-1.15495075,-0.777880275,-1.108050195,2016,1,0,4,2599220,155270000,0.004185,2,0.013173653,0
41,41,41,Jimmy Garoppolo,NWE,QB,0.89029062,-0.855362829,-0.849788223,-1.217375626,-1.140331931,-1.199610776,1.160364788,-1.1286796,-0.888134275,1.288513024,-1.284997874,-1.255647221,-1.146896059,-1.338818233,0.977724393,1.677892443,0.291101774,-1.419195796,1.84044388,2.12737216,-1.266953281,-1.267077903,-0.527961725,1.139267862,1.797378226,-0.200489325,-0.298274993,-0.662542156,-1.431218745,-0.550203849,-0.649809659,-0.626711656,-0.681010034,-0.21972542,-0.666799152,-0.635926086,-0.574244991,2016,1,0,4,3483898,155270000,0.005609419,0,0.005215416,1
42,42,42,Paxton Lynch,DEN,QB,0.952726586,-1.534621547,-1.421015161,-1.217375626,-1.099690907,-1.111422114,-0.394010236,-1.131653084,-1.060031231,-0.768809515,-1.112814536,-0.639238585,-1.110874895,-1.670705843,-0.861896416,-0.456300514,-0.884187632,-0.394876483,-0.360486995,-1.367982895,-0.831185911,-0.975689956,1.116245518,-1.039002994,-0.587666401,-0.770301089,-0.835169981,-0.907591995,-1.126943894,-0.508076872,-0.504480372,-0.626711656,-0.681010034,-0.21972542,-0.028447063,0.05491763,-0.574244991,2016,1,0,4,9476296,155270000,0.01525777,0,0.014186072,3
43,43,43,Tom Savage,HOU,QB,1.015162551,-0.628943257,-1.421015161,-1.217375626,-1.120011419,-1.155516445,0.274538161,-1.153062172,-1.231928187,-2.034854154,-1.284997874,-1.255647221,-1.170910168,-1.615391242,-0.585953295,-0.197610459,-0.95764322,-0.54477687,-0.250763168,0.456879129,-1.121697491,-1.040442833,0.06147106,-0.590799114,-0.226686674,0.36932244,0.238619995,-0.907591995,-1.126943894,-0.718711757,-0.6039162,-0.626711656,-0.566056934,-0.128518642,-0.141097432,-0.35201771,-0.841147593,2016,1,0,4,2520584,155270000,0.004058389,0,0.003773329,1
