Player,Rk,Age,G,GS,Win,Loss,Tie,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Lng_R,Fmb,Att_R,Yds_R,TD_R,1D_R,Y/A_R,Y/G_R,Rnd,Pick,Year,ConLenR,ConSalR,ConLen,ConSal,FTag,PPY,%Cap
Jim Sorgi,59.67,27.0,13.0,0.0,0.0,0.0,0.0,77.0,126.0,59.17,751.0,6.0,4.87,1.0,0.53,33.0,42.67,5.67,6.37,9.4,55.2,88.93,6.0,37.0,4.43,5.12,5.82,0.0,0.0,3.0,2.0,26.0,-8.0,0.0,2.0,-0.4,-0.7,6.0,193.0,2004.0,3.0,0.981,1.0,1.35,0.0,1.35,0.0116
Jimmy Clausen,33.0,23.0,13.0,10.0,1.0,9.0,0.0,157.0,299.0,52.5,1558.0,3.0,1.0,9.0,3.0,73.0,55.0,5.2,4.1,9.9,119.8,58.4,33.0,223.0,9.9,4.02,2.98,0.0,0.0,11.0,9.0,23.0,57.0,0.0,3.0,2.5,4.4,2.0,48.0,2010.0,4.0,3.23,1.0,0.645,0.0,0.645,0.0048
Jimmy Garoppolo,51.0,26.0,23.0,7.0,7.0,0.0,0.0,183.0,272.0,57.78,2250.0,12.0,3.48,5.0,0.7,111.0,35.25,6.25,6.62,10.07,93.8,87.58,16.0,108.0,6.1,5.38,5.73,3.0,3.0,6.5,3.0,40.0,21.0,1.0,7.0,0.3,0.82,2.0,62.0,2014.0,4.0,3.483,5.0,137.5,0.0,27.5,0.088
Joe Burrow,11.33,26.0,42.0,42.0,24.0,17.0,1.0,1044.0,1530.0,68.0,11774.0,82.0,5.17,31.0,1.97,622.0,69.67,7.67,7.77,11.2,278.9,99.63,124.0,860.0,7.5,6.53,6.66,5.0,7.0,19.33,20.0,152.0,517.0,10.0,62.0,3.4,12.57,1.0,1.0,2020.0,4.0,36.19,0.0,0.0,0.0,0.0,0.0
Joe Flacco,14.5,26.0,64.0,64.0,44.0,20.0,0.0,1190.0,1958.0,60.83,13816.0,80.0,4.08,46.0,2.35,681.0,70.75,7.05,6.8,11.62,215.88,85.92,139.0,991.0,6.67,6.11,5.88,6.0,10.0,23.75,39.0,169.0,408.0,4.0,48.0,2.35,6.4,1.0,18.0,2008.0,5.0,29.75,6.0,120.6,0.0,20.1,0.1451
Joey Harrington,21.0,27.0,58.0,55.0,18.0,37.0,0.0,986.0,1802.0,54.73,10242.0,60.0,3.35,62.0,3.45,501.0,71.0,5.7,4.83,10.47,175.68,68.33,77.0,462.0,4.28,5.21,4.36,6.0,6.0,16.0,21.0,109.0,345.0,0.0,23.0,2.6,5.83,1.0,3.0,2002.0,6.0,37.0,3.0,20.75,0.0,6.9167,0.0636
John Beck,52.0,26.0,5.0,4.0,0.0,4.0,0.0,60.0,107.0,56.1,559.0,1.0,0.9,3.0,2.8,23.0,22.0,5.2,4.1,9.3,111.8,62.0,10.0,69.0,8.5,4.19,3.21,0.0,0.0,8.0,7.0,9.0,12.0,1.0,4.0,1.3,2.4,2.0,40.0,2007.0,4.0,4.096,1.0,0.46,0.0,0.46,0.0038
John Navarre,59.5,25.0,2.0,1.0,0.0,1.0,0.0,32.0,64.0,51.65,342.0,2.0,3.35,5.0,7.1,12.0,38.0,5.75,3.2,10.85,171.0,51.6,5.0,35.0,8.35,4.58,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,202.0,2004.0,3.0,0.964,2.0,1.165,0.0,0.5825,0.0049
John Skelton,36.67,24.0,20.0,17.0,8.0,9.0,0.0,320.0,602.0,52.23,3707.0,15.0,2.2,25.0,3.73,167.0,58.0,5.97,4.73,11.37,177.73,62.2,47.0,325.0,7.1,5.03,3.88,6.0,7.0,10.67,11.0,42.0,182.0,0.0,15.0,3.6,8.83,5.0,155.0,2010.0,4.0,2.121,1.0,0.63,0.0,0.63,0.0047
Johnny Manziel,45.0,23.0,14.0,8.0,2.0,6.0,0.0,147.0,258.0,54.6,1675.0,7.0,1.55,7.0,3.95,78.0,46.5,5.85,4.35,10.65,100.85,60.7,22.0,167.0,7.9,4.77,3.4,0.0,0.0,22.0,7.0,46.0,259.0,1.0,12.0,4.7,15.7,1.0,22.0,2014.0,4.0,8.248,0.0,0.0,0.0,0.0,0.0
