Player,Rk,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Year
JJ Nelson,221.5,ARI,26,WR,56,15,181,81,42.73,1439,17.62,10,62,51.75,7.62,1.4,25.38,3,2018
JaJuan Dawson,192.33,HOU,25,WR,30,4,87,52,60.93,664,12.4,2,34,32.67,7.5,2.53,29.67,1,2002
Jabar Gaffney,86.25,HOU,25,WR,64,50,296,171,57.9,2009,11.97,7,112,39.5,6.97,2.67,31.4,2,2005
Jacoby Ford,193.33,OAK,26,WR,38,13,111,57,52.7,848,13.7,3,38,38.33,7.1,1.63,23.8,10,2013
Jacoby Jones,197.0,HOU,26,WR,59,11,147,96,63.85,1229,16.02,9,60,40.75,10.12,1.65,21.1,9,2010
Jaelen Strong,295.67,2TM,23,WR,20,3,52,31,63.87,330,11.2,4,13,32.33,7.23,1.57,17.17,0,2017
Jake Schifino,465.5,TEN,25,WR,14,0,2,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,2004
Jakeem Grant,280.0,MIA,27,WR,52,4,90,53,44.62,635,9.25,4,31,33.75,5.53,1.2,13.97,8,2019
Jaleel Scott,480.0,NYJ,25,WR,4,1,4,2,66.65,22,11.0,0,1,11.0,9.0,0.65,9.0,0,2020
Jalen Reagor,202.33,MIN,23,WR,45,24,124,72,58.93,799,11.63,4,37,42.33,6.83,1.73,19.9,8,2022
Jalen Saunders,444.0,4TM,22,WR,15,0,1,1,100.0,7,7.0,0,0,7.0,7.0,0.1,0.5,2,2014
Jamaar Taylor,385.0,NYG,24,WR,13,0,18,6,17.65,146,12.15,0,4,26.0,4.3,0.4,9.15,0,2005
James Hardy,336.5,BUF,24,WR,16,3,25,10,68.75,96,9.35,2,5,13.0,6.3,0.55,5.35,0,2009
James Jones,111.5,GNB,26,WR,58,17,259,149,58.65,2069,13.88,13,94,66.25,8.12,2.5,34.9,6,2010
James Proche,345.67,BAL,26,WR,43,0,40,25,53.47,278,11.47,0,14,19.33,6.13,0.57,6.5,0,2022
James Washington,169.25,PIT,25,WR,60,25,218,114,51.3,1629,13.82,11,72,54.5,7.1,1.88,27.0,1,2021
James Williams,312.5,DET,25,WR,30,4,54,29,41.4,410,10.28,1,17,21.25,5.92,0.88,13.2,1,2003
James Wright,305.0,CIN,25,WR,24,2,35,18,49.85,197,13.2,0,12,22.5,5.65,0.75,8.25,0,2016
Jamison Crowder,65.5,WAS,25,WR,56,28,329,221,66.65,2628,12.05,14,121,54.75,7.97,3.88,46.6,12,2018
Jared Abbrederis,364.67,DET,27,WR,22,0,25,13,49.73,163,11.67,0,7,21.67,5.73,0.5,6.33,1,2017
Jarett Dillard,221.0,JAX,26,WR,21,5,58,35,66.5,398,13.9,1,22,29.0,9.55,1.5,18.0,1,2011
Jarius Wright,143.0,MIN,26,WR,55,14,191,124,64.33,1774,14.45,7,84,61.5,9.25,2.35,33.95,1,2015
Jarvis Landry,7.5,MIA,25,WR,64,57,570,400,70.67,4038,10.1,22,225,48.75,7.15,6.28,63.1,14,2017
Jason Avant,168.25,PHI,26,WR,54,23,162,103,61.62,1299,11.85,8,67,34.5,7.42,1.77,22.02,2,2009
Jason Hill,265.5,2TM,25,WR,40,3,79,51,58.42,661,12.28,5,26,29.25,7.08,1.07,15.05,1,2010
Jason McAddley,285.25,SFO,26,WR,34,11,100,38,41.55,578,16.18,1,26,35.25,6.85,1.4,20.15,1,2005
Jauan Jennings,163.0,SFO,25,WR,32,5,94,59,62.85,698,11.85,6,42,39.0,7.4,1.85,21.8,2,2022
Javin Hunter,315.0,BAL,22,WR,12,3,11,5,45.5,35,7.0,0,0,8.0,3.2,0.4,2.9,2,2002
Javon Walker,146.0,GNB,27,WR,48,18,273,157,60.8,2444,13.43,22,106,46.0,7.78,3.42,44.88,4,2005
Javon Wims,312.33,CHI,26,WR,33,7,56,28,58.73,266,8.77,2,15,22.0,5.07,0.87,7.77,0,2020
