Player,Rk,Tm,Age,Pos,G,GS,Win,Loss,Tie,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Year
Tim Tebow,46.0,NYJ,25,QB,35,16,8,6,0,173,361,57.166666666666664,2422,17,3.5,9,1.9666666666666668,110,43.0,6.433333333333334,6.233333333333333,12.066666666666668,66.5,79.96666666666667,41,258,12.566666666666668,5.096666666666667,4.93,6,6,2012
Todd Heap,92.0,BAL,22,TE,16,16,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2002
Todd Husak,98.0,WAS,22,QB,1,0,0,0,0,2,2,100.0,-2,0,0.0,0,0.0,0,6.0,-1.0,-1.0,-1.0,-2.0,79.2,0,0,0.0,-1.0,-1.0,0,0,2000
Tom Brady,28.75,NWE,26,QB,48,46,34,12,0,955,1544,54.875,10233,69,3.375,38,1.875,505,57.0,5.525,5.3,9.575,164.275,75.125,104,625,4.9,4.8825,4.7175,8,11,2003
Tom Brandstater,83.0,STL,27,QB,1,0,0,0,0,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2011
Tom Savage,45.666666666666664,HOU,27,QB,13,9,2,7,0,181,315,57.23333333333333,2000,5,0.7333333333333334,7,2.6666666666666665,96,41.333333333333336,6.433333333333334,5.3999999999999995,11.333333333333334,131.23333333333332,68.06666666666668,27,200,6.666666666666667,5.563333333333333,4.58,3,3,2017
Tony Pike,68.0,CAR,24,QB,1,0,0,0,0,6,12,50.0,47,0,0.0,0,0.0,3,22.0,3.9,3.9,7.8,47.0,60.1,1,10,7.7,2.85,2.85,0,0,2010
Trace McSorley,59.5,ARI,27,QB,8,1,0,1,0,48,93,42.1,502,1,5.0,5,3.0,19,58.5,7.0,6.65,19.6,56.85,70.35,3,27,1.75,6.74,6.43,0,0,2022
Travis Henry,106.0,BUF,25,RB,15,15,0,0,0,0,1,0.0,0,0,0.0,1,100.0,0,0.0,0.0,-45.0,0.0,0.0,0.0,0,0,0.0,0.0,-45.0,0,0,2003
Trent Edwards,33.25,2TM,27,QB,37,33,14,19,0,561,927,59.05,6019,26,2.7,30,3.625,270,56.25,6.225,5.1,10.475,151.525,71.125,69,482,7.775,5.1675,4.175,4,5,2010
Trevor Siemian,25.5,DEN,26,QB,25,24,13,11,0,495,835,59.25,5686,30,3.55,24,3.05,267,60.0,6.75,6.1,11.45,225.3,78.94999999999999,64,407,7.3,5.8149999999999995,5.21,3,2,2017
Troy Smith,56.25,SFO,26,QB,20,8,4,4,0,121,234,58.375,1734,8,7.75,5,3.4749999999999996,71,49.25,9.3,9.325,14.875,82.175,83.69999999999999,23,142,9.0,7.672499999999999,7.425,2,2,2010
Tua Tagovailoa,24.333333333333332,MIA,24,QB,36,34,21,13,0,708,1078,65.56666666666666,8015,52,4.733333333333333,23,2.1,399,61.333333333333336,7.333333333333333,7.3,11.200000000000001,219.46666666666667,94.23333333333333,61,451,5.466666666666666,6.526666666666666,6.526666666666666,4,6,2022
Tyler Boyd,97.0,CIN,24,WR,14,14,0,0,0,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.6,0,0,0.0,0.0,0.0,0,0,2018
Tyler Thigpen,53.0,MIA,26,QB,22,12,1,11,0,269,496,47.825,3167,21,5.0,17,11.95,147,41.5,7.6,3.225,16.45,88.95,63.675,35,221,7.875,6.4825,2.41,0,1,2010
Tyreek Hill,85.0,KAN,23,WR,15,13,0,0,0,0,1,0.0,0,0,0.0,1,100.0,0,0.0,0.0,-45.0,0.0,0.0,0.0,0,0,0.0,0.0,-45.0,0,0,2017
Tyrod Taylor,66.33333333333333,BAL,24,QB,13,0,0,0,0,19,35,59.53333333333333,199,0,0.0,2,7.8,8,15.0,8.200000000000001,4.666666666666667,10.166666666666666,10.766666666666667,60.333333333333336,5,33,25.36666666666667,3.3533333333333335,-0.11666666666666654,0,0,2013
Vince Young,30.0,TEN,26,QB,45,39,26,13,0,596,1034,58.4,6843,32,3.125,39,4.1,350,61.5,6.575,5.3,11.275,136.475,71.275,62,335,5.925,5.8625,4.7225,7,11,2009
Will Grier,53.0,CAR,24,QB,2,2,0,2,0,28,52,53.8,228,0,0.0,4,7.7,12,28.0,4.4,0.9,8.1,114.0,33.2,6,44,10.3,3.17,0.07,0,0,2019
Zach Mettenberger,38.0,TEN,24,QB,14,10,0,10,0,208,345,60.3,2347,12,3.45,14,4.05,102,68.5,6.75,5.6,11.25,167.64999999999998,75.05000000000001,31,236,8.2,5.574999999999999,4.52,0,0,2015
Zay Jones,90.5,LVR,25,WR,32,17,0,0,0,1,2,50.0,29,0,0.0,0,0.0,1,14.5,14.5,14.5,14.5,0.9,79.15,0,0,0.0,14.5,14.5,0,0,2020
