Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
3,83,NWE,Derek Rivers,DE,23,2021,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,11,,3.5,RiveDe00
3,84,TAM,Chris Godwin,WR,21,2022,0,1,3,87,0,0,0,0,0,8,34,1,446,5666,32,8,,,GodwCh00
3,85,NWE,Antonio Garcia,T,23,,0,0,0,,,,,,,,,,,,,,,,GarcAn00
3,86,KAN,Kareem Hunt,RB,22,2022,0,1,2,76,0,0,0,0,0,895,4025,31,211,1806,17,,,,HuntKa00
3,87,NYG,Davis Webb,QB,22,2022,0,0,0,2,23,40,168,1,0,8,38,1,0,0,0,,,,WebbDa00
3,88,OAK,Eddie Vanderdoes,DT,22,2019,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,18,,,VandEd00
3,89,HOU,D'Onta Foreman,RB,21,2022,0,0,0,43,0,0,0,0,0,443,1901,10,23,265,2,,,,ForeDO00
3,90,SEA,Shaquill Griffin,DB,22,2022,0,1,5,76,0,0,0,0,0,0,0,0,0,0,0,262,6,1,GrifSh00
3,91,LAR,John Johnson,S,21,2022,0,0,4,86,0,0,0,0,0,0,0,0,0,0,0,342,12,1,JohnJo10
3,92,DAL,Jourdan Lewis,CB,22,2022,0,0,2,83,0,0,0,0,0,2,12,0,0,0,0,200,8,8.5,LewiJo01
3,93,GNB,Montravius Adams,DT,22,2022,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,41,,1.5,AdamMo00
3,94,PIT,Cameron Sutton,CB,22,2022,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,143,8,2,SuttCa00
3,95,SEA,Lano Hill,S,21,2020,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,41,,,HillDe02
3,96,DET,Kenny Golladay,WR,23,2022,0,1,4,73,0,0,0,0,0,2,17,0,226,3670,22,,,,GollKe00
3,97,MIA,Cordrea Tankersley,CB,23,2020,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,28,,,TankCo00
3,98,ARI,Chad Williams,WR,22,2019,0,0,1,17,0,0,0,0,0,3,42,0,20,202,1,,,,WillCh05
3,99,PHI,Rasul Douglas,CB,23,2022,0,0,1,89,0,0,0,0,0,0,0,0,0,0,0,266,14,1,DougRa00
3,100,TEN,Jonnu Smith,TE,22,2022,0,0,5,90,0,0,0,0,0,16,127,1,169,1841,17,,,,SmitJo01
3,101,DEN,Brendan Langley,CB,22,2018,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,6,,,LangBr00
3,102,SEA,Nazair Jones,DT,22,2018,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,12,1,2,JoneNa00
3,103,NOR,Trey Hendrickson,OLB,22,2022,0,2,2,76,0,0,0,0,0,0,0,0,0,0,0,90,,42,HendTr00
3,104,SFO,C.J. Beathard,QB,23,2022,0,0,0,25,300,510,3537,18,14,56,231,4,0,0,0,,,,BeatC.00
3,105,PIT,James Conner,RB,22,2022,0,2,3,78,0,0,0,0,0,917,3836,44,207,1638,8,2,,,ConnJa00
3,106,SEA,Amara Darboh,WR,23,2017,0,0,0,16,0,0,0,0,0,0,0,0,8,71,0,2,,,DarbAm00
3,107,TAM,Kendell Beckwith,ILB,22,2017,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,60,,1,BeckKe00
4,108,GNB,Vince Biegel,LB,24,2021,0,0,1,43,0,0,0,0,0,0,0,0,0,0,0,42,1,2.5,BiegVi00
