Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk
4,122,BAL,Kenny Young,LB,23,2022,0,0,1,63,0,0,0,0,0,0,0,0,0,0,0,127,1,5.5
4,123,MIA,Durham Smythe,TE,23,2022,0,0,3,79,0,0,0,0,0,4,4,1,88,809,3,9,,
4,124,KAN,Armani Watts,S,22,2021,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,42,,2
4,125,PHI,Avonte Maddox,CB,22,2022,0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,183,4,3
4,126,ATL,Ito Smith,RB,22,2021,0,0,0,36,0,0,0,0,0,176,693,7,55,314,0,,,
4,127,NOR,Rick Leonard,T,21,2021,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,
4,128,SFO,Kentavius Street,DT,22,2022,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,37,,6.5
4,129,JAX,Will Richardson,T,22,2021,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,,,
4,130,PHI,Josh Sweat,DE,21,2022,0,1,1,71,0,0,0,0,0,0,0,0,0,0,0,91,1,28.5
4,131,MIA,Kalen Ballage,RB,22,2021,0,0,1,52,0,0,0,0,0,213,665,7,54,293,0,4,,
4,132,BAL,Jaleel Scott,WR,23,2020,0,0,0,4,0,0,0,0,0,0,0,0,2,22,0,,,
4,133,GNB,J'Mon Moore,WR,23,2018,0,0,0,12,0,0,0,0,0,0,0,0,2,15,0,2,,
4,134,ARI,Chase Edmonds,RB,22,2022,0,0,1,70,0,0,0,0,0,401,1796,11,144,1078,6,13,,
4,135,LAR,John Franklin-Myers,DE,21,2022,0,0,1,64,0,0,0,0,0,0,0,0,0,0,0,47,1,16
4,136,CAR,Marquis Haynes,OLB,24,2022,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,50,,13
4,137,DAL,Dalton Schultz,TE,22,2022,0,0,2,75,0,0,0,0,0,0,0,0,211,2122,17,3,,
5,138,GNB,Cole Madison,G,23,,0,0,0,,,,,,,,,,,,,,,
5,139,NYG,R.J. McIntosh,DT,22,2019,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,10,,2
5,140,OAK,Maurice Hurst Jr.,DT,23,2021,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,53,1,8
